"Dominio","Servidor","IP","Sistema_Operativo","Version_Sistema_Operativo","Fecha_Instalacion","KBs_Instaladas","Fecha_Reinicio","Descripcion_Error"
"petersen.corp","AONOCEDB01T","172.30.211.130","Microsoft Windows Server 2019 Standard","10.0.17763.7671 (WinBuild.160101.0800)","13/05/2026","Ninguna/No detectada","13/05/2026 03:28","N/A"
"petersen.corp","BERCBANKIIS01T","10.50.87.161","Microsoft Windows Server 2022 Standard","10.0.20348.1 (WinBuild.160101.0800)","07/10/2022","Ninguna/No detectada","13/05/2026 03:18","N/A"
"N/A","BERDEBMEDIADB01T","10.50.87.161","N/A","N/A","N/A","Ninguna/No detectada","N/A","No hay conectividad WinRM ni acceso administrativo a \\BERDEBMEDIADB01T\C$"
"N/A","BERDEBMEDIAPP01T","10.50.87.161","N/A","N/A","N/A","Ninguna/No detectada","N/A","No hay conectividad WinRM ni acceso administrativo a \\BERDEBMEDIAPP01T\C$"
"petersen.corp","BERINSTWEB01T","10.50.87.95","Microsoft Windows Server 2019 Standard","10.0.17763.7671 (WinBuild.160101.0800)","13/05/2026","Ninguna/No detectada","13/05/2026 03:28","N/A"
"petersen.corp","BEROCEAPI01T","172.30.87.70","Microsoft Windows Server 2019 Standard","10.0.17763.7671 (WinBuild.160101.0800)","13/05/2026","Ninguna/No detectada","13/05/2026 03:28","N/A"
"petersen.corp","BEROMNIPB01T","172.30.85.81","Microsoft Windows Server 2016 Standard","10.0.14393.8330 (rs1_release.250801-1749)","13/05/2026","Ninguna/No detectada","13/05/2026 03:53","N/A"
"petersen.corp","BERPREX01T","172.30.16.160","Microsoft Windows Server 2019 Standard","10.0.17763.7671 (WinBuild.160101.0800)","13/05/2026","Ninguna/No detectada","13/05/2026 03:29","N/A"
"petersen.corp","BERPWRCRVDA01T","172.30.87.69","Microsoft Windows Server 2019 Standard","10.0.17763.7671 (WinBuild.160101.0800)","13/05/2026","Ninguna/No detectada","13/05/2026 03:30","N/A"
"petersen.corp","BERVUFADB02T","172.30.87.186","Microsoft Windows Server 2019 Standard","10.0.17763.7671 (WinBuild.160101.0800)","13/05/2026","Ninguna/No detectada","15/05/2026 14:25","N/A"
"petersen.corp","BSCFDSQL01T","172.30.97.122","Microsoft Windows Server 2022 Standard","10.0.20348.4050 (WinBuild.160101.0800)","13/05/2026","Ninguna/No detectada","21/05/2026 14:18","N/A"
"petersen.corp","BSCINSTWEB01T","10.50.97.95","Microsoft Windows Server 2019 Standard","10.0.17763.7671 (WinBuild.160101.0800)","09/06/2026","Ninguna/No detectada","09/06/2026 17:18","N/A"
"petersen.corp","BSCMCESIS01T","172.30.211.221","Microsoft Windows Server 2022 Standard","10.0.20348.4050 (WinBuild.160101.0800)","16/05/2026","Ninguna/No detectada","15/05/2026 23:49","N/A"
"petersen.corp","BSCOCEAPI01T","172.30.97.70","Microsoft Windows Server 2019 Standard","10.0.17763.7671 (WinBuild.160101.0800)","13/05/2026","Ninguna/No detectada","05/06/2026 10:44","N/A"
"petersen.corp","BSCOMNIWS02T","172.30.97.81","Microsoft Windows Server 2019 Standard","10.0.17763.7671 (WinBuild.160101.0800)","13/05/2026","Ninguna/No detectada","13/05/2026 03:30","N/A"
"petersen.corp","BSCSBALSQL01T","172.30.97.74","Microsoft Windows Server 2019 Standard","10.0.17763.7671 (WinBuild.160101.0800)","10/06/2026","KB5094123, KB5094143","09/06/2026 23:02","N/A"
"petersen.corp","BSCSONPRTG01T","172.30.97.73","Microsoft Windows Server 2019 Standard","10.0.17763.7671 (WinBuild.160101.0800)","09/06/2026","Ninguna/No detectada","09/06/2026 17:19","N/A"
"petersen.corp","BSCVUFADB02T","172.30.97.186","Microsoft Windows Server 2019 Standard","10.0.17763.7671 (WinBuild.160101.0800)","10/06/2026","KB5094123, KB5094143","10/06/2026 00:49","N/A"
"petersen.corp","BSFFDSQL01T","172.30.82.122","Microsoft Windows Server 2022 Standard","10.0.20348.4050 (WinBuild.160101.0800)","13/05/2026","Ninguna/No detectada","18/05/2026 14:53","N/A"
"petersen.corp","BSFMCESIS01T","172.30.211.218","Microsoft Windows Server 2022 Standard","10.0.20348.4050 (WinBuild.160101.0800)","16/05/2026","Ninguna/No detectada","15/05/2026 23:58","N/A"
"petersen.corp","BSFOCEAPI01T","172.30.82.70","Microsoft Windows Server 2019 Standard","10.0.17763.7671 (WinBuild.160101.0800)","09/06/2026","Ninguna/No detectada","13/05/2026 03:16","N/A"
"petersen.corp","BSFOCEIS01T","172.30.82.72","Microsoft Windows Server 2019 Standard","10.0.17763.7671 (WinBuild.160101.0800)","13/05/2026","Ninguna/No detectada","13/05/2026 03:44","N/A"
"petersen.corp","BSFONBOARDMS02T","172.30.82.181","Microsoft Windows Server 2019 Standard","10.0.17763.7671 (WinBuild.160101.0800)","13/05/2026","Ninguna/No detectada","13/05/2026 03:33","N/A"
"N/A","BSFREGFIRMSQLT","172.30.82.181","N/A","N/A","N/A","Ninguna/No detectada","N/A","No hay conectividad WinRM ni acceso administrativo a \\BSFREGFIRMSQLT\C$"
"petersen.corp","BSFSONPRTG02T","10.50.82.73","Microsoft Windows Server 2019 Standard","10.0.17763.7671 (WinBuild.160101.0800)","09/06/2026","Ninguna/No detectada","09/06/2026 17:27","N/A"
"petersen.corp","BSJDEBMEDAPP01T","10.50.211.50","Microsoft Windows Server 2022 Standard","10.0.20348.4050 (WinBuild.160101.0800)","13/05/2026","Ninguna/No detectada","13/05/2026 03:38","N/A"
"petersen.corp","BSJFDSQL01T","172.30.92.122","Microsoft Windows Server 2022 Standard","10.0.20348.4050 (WinBuild.160101.0800)","13/05/2026","Ninguna/No detectada","20/05/2026 15:01","N/A"
"petersen.corp","BSJGCONTAWEB01T","172.30.92.187","Microsoft Windows Server 2019 Standard","10.0.17763.7671 (WinBuild.160101.0800)","13/05/2026","Ninguna/No detectada","13/05/2026 03:34","N/A"
"petersen.corp","BSJOCEMS01T","172.30.92.71","Microsoft Windows Server 2019 Standard","10.0.17763.7671 (WinBuild.160101.0800)","13/05/2026","Ninguna/No detectada","13/05/2026 03:39","N/A"
"petersen.corp","BSJONBOARDMS01T","10.50.92.140","Microsoft Windows Server 2019 Standard","10.0.17763.7671 (WinBuild.160101.0800)","13/05/2026","Ninguna/No detectada","13/05/2026 03:38","N/A"
"petersen.corp","BSJPWRCRVDA01T","172.30.92.69","Microsoft Windows Server 2019 Standard","10.0.17763.7671 (WinBuild.160101.0800)","09/06/2026","Ninguna/No detectada","09/06/2026 17:17","N/A"
"petersen.corp","BSJSONPRTG01T","172.30.92.73","Microsoft Windows Server 2019 Standard","10.0.17763.7671 (WinBuild.160101.0800)","13/05/2026","Ninguna/No detectada","13/05/2026 03:39","N/A"
"N/A","BSJSONPRTG02T","172.30.92.73","N/A","N/A","N/A","Ninguna/No detectada","N/A","No hay conectividad WinRM ni acceso administrativo a \\10.50.92.73\C$"
"petersen.corp","BSJVUFADB01T","172.30.92.185","Microsoft Windows Server 2019 Standard","10.0.17763.7671 (WinBuild.160101.0800)","10/06/2026","KB5094123, KB5094143","10/06/2026 00:53","N/A"
"petersen.corp","SRVAPPFCI01T","172.30.211.13","Microsoft Windows Server 2022 Standard","10.0.20348.4050 (WinBuild.160101.0800)","27/03/2026","Ninguna/No detectada","19/04/2026 00:38","N/A"
"N/A","SRVCMSBO01T","172.30.211.13","N/A","N/A","N/A","Ninguna/No detectada","N/A","No hay conectividad WinRM ni acceso administrativo a \\SRVCMSBO01T\C$"
"N/A","SRVDBFCI01T","172.30.211.13","N/A","N/A","N/A","Ninguna/No detectada","N/A","No se genero WU-ReportInfo.json en el servidor remoto"
"petersen.corp","SRVDEPSQL01T","172.30.211.145","Microsoft Windows Server 2019 Standard","10.0.17763.7671 (WinBuild.160101.0800)","29/04/2026","Ninguna/No detectada","29/04/2026 17:22","N/A"
