"Dominio","Servidor","IP","Sistema_Operativo","Version_Sistema_Operativo","Fecha_Instalacion","KBs_Instaladas","Fecha_Reinicio","Descripcion_Error"
"petersen.corp","VPRX-CLD-09C","10.50.13.70, 10.50.41.47","Microsoft Windows Server 2019 Standard","10.0.17763.7671 (WinBuild.160101.0800)","10/06/2026","KB5087061, KB5094123, KB5094143","10/06/2026 16:17","N/A"
"petersen.corp","VPRX-CLD2-01I","10.50.42.30, 10.50.13.10, 10.50.41.86","Microsoft Windows Server 2019 Standard","10.0.17763.7671 (WinBuild.160101.0800)","10/06/2026","KB5087061, KB5087538, KB5089760","10/06/2026 16:06","N/A"
"N/A","VPRX-CLD2-08I","10.50.42.30, 10.50.13.10, 10.50.41.86","N/A","N/A","N/A","Ninguna/No detectada","N/A","No se genero WU-ReportInfo.json en el servidor remoto"
"petersen.corp","VPRX-CLD2-10I","10.50.13.115, 10.50.42.107, 10.50.41.107","Microsoft Windows Server 2022 Standard","10.0.20348.2849 (WinBuild.160101.0800)","24/07/2025","Ninguna/No detectada","24/07/2025 16:16","N/A"
"petersen.corp","VPRX-CLD3-03C","10.50.41.36, 10.50.13.41","Microsoft Windows Server 2022 Standard","10.0.20348.4050 (WinBuild.160101.0800)","10/06/2026","KB5087068, KB5094128, KB5094147","10/06/2026 16:38","N/A"
"petersen.corp","VPRX-CLD3-06C","10.50.41.84, 10.50.13.14","Microsoft Windows Server 2022 Standard","10.0.20348.4050 (WinBuild.160101.0800)","10/06/2026","KB5087068, KB5094128, KB5094147","10/06/2026 16:35","N/A"
"petersen.corp","VPRX-CLD3-08C","10.50.41.144, 10.50.13.85","Microsoft Windows Server 2022 Standard","10.0.20348.4050 (WinBuild.160101.0800)","10/06/2026","KB5087068, KB5094128, KB5094147","10/06/2026 16:34","N/A"
"petersen.corp","VPRX-CLD3-09C","10.50.41.66, 10.50.13.86","Microsoft Windows Server 2022 Standard","10.0.20348.4050 (WinBuild.160101.0800)","10/06/2026","KB5087068","17/04/2026 14:53","N/A"
"N/A","VPRX-CLD7-03C","10.50.41.66, 10.50.13.86","N/A","N/A","N/A","Ninguna/No detectada","N/A","No hay conectividad WinRM ni acceso administrativo a \\VPRX-CLD7-03C\C$"
"petersen.corp","VPRX-CTRL-03C","10.50.13.141, 10.50.41.110","Microsoft Windows Server 2022 Standard","10.0.20348.4050 (WinBuild.160101.0800)","17/04/2026","Ninguna/No detectada","17/04/2026 13:45","N/A"
"petersen.corp","VPRX-HBE-03C","10.50.13.57, 10.50.41.59","Microsoft Windows Server 2019 Standard","10.0.17763.7671 (WinBuild.160101.0800)","14/04/2026","Ninguna/No detectada","14/04/2026 14:27","N/A"
"petersen.corp","VPRX-HBE-04C","10.50.13.15, 10.50.41.15","Microsoft Windows Server 2019 Standard","10.0.17763.652 (WinBuild.160101.0800)","20/04/2026","Ninguna/No detectada","20/04/2026 13:19","N/A"
"petersen.corp","VPRX-HBI-02I","10.50.42.15, 10.50.13.62","Microsoft Windows Server 2022 Standard","10.0.20348.4050 (WinBuild.160101.0800)","15/04/2026","Ninguna/No detectada","15/04/2026 12:42","N/A"
"petersen.corp","VPRX-HBI-04I","10.50.42.64, 10.50.13.84","Microsoft Windows Server 2022 Standard","10.0.20348.4050 (WinBuild.160101.0800)","10/06/2026","KB5087068, KB5094128, KB5094147","10/06/2026 16:47","N/A"
"petersen.corp","VPRX-HBI-05C","10.50.13.215, 10.50.41.118","Microsoft Windows Server 2019 Standard","10.0.17763.7671 (WinBuild.160101.0800)","20/04/2026","Ninguna/No detectada","20/04/2026 15:16","N/A"
"petersen.corp","VPRX-PROD02-01C","10.50.42.63, 10.50.13.64, 10.50.41.80","Microsoft Windows Server 2019 Standard","10.0.17763.7671 (WinBuild.160101.0800)","14/04/2026","Ninguna/No detectada","14/04/2026 13:41","N/A"
"N/A","VPRX-PROD02-02C","10.50.42.63, 10.50.13.64, 10.50.41.80","N/A","N/A","N/A","Ninguna/No detectada","N/A","No hay conectividad WinRM ni acceso administrativo a \\10.50.42.65\C$"
"petersen.corp","VPRX-PROD02-06C","10.50.13.218, 10.50.41.99","Microsoft Windows Server 2022 Standard","10.0.20348.1 (WinBuild.160101.0800)","15/04/2026","Ninguna/No detectada","15/04/2026 12:28","N/A"
"petersen.corp","VPRX-PROD02-09C","10.50.13.221, 10.50.41.102","Microsoft Windows Server 2022 Standard","10.0.20348.4050 (WinBuild.160101.0800)","20/04/2026","Ninguna/No detectada","20/04/2026 13:29","N/A"
"petersen.corp","VPRX-PROD-02I","10.50.42.36, 10.50.13.36","Microsoft Windows Server 2022 Standard","10.0.20348.4050 (WinBuild.160101.0800)","20/04/2026","Ninguna/No detectada","20/04/2026 13:25","N/A"
"petersen.corp","VPRX-PROD-03I","10.50.42.40, 10.50.13.40","Microsoft Windows Server 2022 Standard","10.0.20348.4050 (WinBuild.160101.0800)","17/04/2026","Ninguna/No detectada","17/04/2026 13:45","N/A"
"petersen.corp","VPRX-PROD-07I","10.50.13.207, 10.50.42.81","Microsoft Windows Server 2022 Standard","10.0.20348.4050 (WinBuild.160101.0800)","16/04/2026","Ninguna/No detectada","16/04/2026 13:14","N/A"
"petersen.corp","VPRX-PROD-08I","10.50.13.208, 10.50.42.82","Microsoft Windows Server 2022 Standard","10.0.20348.4050 (WinBuild.160101.0800)","15/04/2026","Ninguna/No detectada","15/04/2026 13:05","N/A"
"N/A","VPRX-PROD-10I_OLD","10.50.13.208, 10.50.42.82","N/A","N/A","N/A","Ninguna/No detectada","N/A","No hay conectividad WinRM ni acceso administrativo a \\VPRX-PROD-10I_OLD\C$"
