"Dominio","Servidor","IP","Sistema_Operativo","Version_Sistema_Operativo","Fecha_Instalacion","KBs_Instaladas","Fecha_Reinicio","Descripcion_Error"
"petersen.corp","SRVEEAMBEM01P","172.30.10.10","Microsoft Windows Server 2022 Standard","10.0.20348.4050 (WinBuild.160101.0800)","02/10/2025","Ninguna/No detectada","10/03/2026 09:46","N/A"
"N/A","VEEAMPRX01_1","172.30.10.10","N/A","N/A","N/A","Ninguna/No detectada","N/A","No hay conectividad WinRM ni acceso administrativo a \\VEEAMPRX01_1\C$"
"N/A","VEEAMPRX04","172.30.10.10","N/A","N/A","N/A","Ninguna/No detectada","N/A","No hay conectividad WinRM ni acceso administrativo a \\10.50.41.24\C$"
"N/A","VEEAMPRX05","172.30.10.10","N/A","N/A","N/A","Ninguna/No detectada","N/A","No hay conectividad WinRM ni acceso administrativo a \\10.50.41.25\C$"
"N/A","VEEAMPRX06_OLD","172.30.10.10","N/A","N/A","N/A","Ninguna/No detectada","N/A","No hay conectividad WinRM ni acceso administrativo a \\VEEAMPRX06_OLD\C$"
"petersen.corp","VEEAMPRX07","10.50.12.27, 10.50.13.27, 10.50.41.27","Microsoft Windows Server 2019 Standard","10.0.17763.7671 (WinBuild.160101.0800)","09/06/2026","Ninguna/No detectada","09/06/2026 17:46","N/A"
"petersen.corp","VEEAMPRXCL17","10.50.12.45, 10.50.13.45, 10.50.41.45","Microsoft Windows Server 2019 Standard","10.0.17763.7671 (WinBuild.160101.0800)","09/06/2026","Ninguna/No detectada","09/06/2026 17:27","N/A"
"petersen.corp","VEEAMV123","172.30.10.110","Microsoft Windows Server 2022 Standard","10.0.20348.1 (WinBuild.160101.0800)","07/10/2022","Ninguna/No detectada","06/04/2026 13:16","N/A"
"petersen.corp","VPRX-BM-02C","10.50.41.220, 10.50.13.227","Microsoft Windows Server 2019 Standard","10.0.17763.652 (WinBuild.160101.0800)","23/10/2020","Ninguna/No detectada","16/04/2026 14:51","N/A"
"petersen.corp","VPRX-BM-03C","10.50.41.122","Microsoft Windows Server 2019 Standard","10.0.17763.652 (WinBuild.160101.0800)","23/10/2020","Ninguna/No detectada","10/02/2026 11:34","N/A"
"petersen.corp","VPRX-CLD-01C","10.50.13.50, 10.50.41.54","Microsoft Windows Server 2019 Standard","10.0.17763.7671 (WinBuild.160101.0800)","10/06/2026","KB5094123, KB5094143","10/06/2026 16:07","N/A"
"petersen.corp","VPRX-CLD05-03C","10.50.12.35, 10.50.13.35, 10.50.41.14","Microsoft Windows Server 2019 Standard","10.0.17763.7671 (WinBuild.160101.0800)","10/06/2026","KB5094123, KB5094143","10/06/2026 15:50","N/A"
