"Dominio","Servidor","IP","Sistema_Operativo","Version_Sistema_Operativo","Fecha_Instalacion","KBs_Instaladas","Fecha_Reinicio","Running_Time","Descripcion_Error"
"N/A","ASJDC04","N/A","N/A","N/A","N/A","Ninguna/No detectada","N/A","N/A","No hay conectividad WinRM ni acceso administrativo a \\ASJDC04\C$"
"N/A","BSJDC01P","N/A","N/A","N/A","N/A","Ninguna/No detectada","N/A","N/A","No hay conectividad WinRM ni acceso administrativo a \\BSJDC01P\C$"
"N/A","PTCEDC01","N/A","N/A","N/A","N/A","Ninguna/No detectada","N/A","N/A","No hay conectividad WinRM ni acceso administrativo a \\PTCEDC01\C$"
"root.corp","ROOTDC1601","172.30.10.183","Microsoft Windows Server 2016 Standard","10.0.14393.8330 (rs1_release.250801-1749)","12/03/2026","Ninguna/No detectada","12/03/2026 19:13","2168:15:22","N/A"
"petersen.corp","SRVDC01","172.30.10.184","Microsoft Windows Server 2016 Standard","10.0.14393.8330 (rs1_release.250801-1749)","19/02/2026","Ninguna/No detectada","19/02/2026 18:29","2673:59:04","N/A"
"petersen.corp","SRVDCOMNIPP02P","172.30.118.21","Microsoft Windows Server 2022 Standard","10.0.20348.4050 (WinBuild.160101.0800)","29/08/2025","Ninguna/No detectada","29/08/2025 04:35","6863:54:00","N/A"
"petersen.corp","BERENROLLBFF01T","172.30.87.97","Microsoft Windows Server 2019 Standard","10.0.17763.7671 (WinBuild.160101.0800)","16/05/2026","Ninguna/No detectada","15/05/2026 23:49","628:39:45","N/A"
"petersen.corp","BERENROLLWEB01T","10.50.87.97","Microsoft Windows Server 2019 Standard","10.0.17763.7671 (WinBuild.160101.0800)","15/04/2026","Ninguna/No detectada","15/04/2026 01:59","1369:29:29","N/A"
"petersen.corp","BERINSTWEB02T","10.50.87.98","Microsoft Windows Server 2019 Standard","10.0.17763.652 (WinBuild.160101.0800)","17/05/2025","Ninguna/No detectada","16/09/2025 11:02","6424:26:43","N/A"
"petersen.corp","BERJENKCON01T","172.30.87.191","Microsoft Windows Server 2019 Standard","10.0.17763.7671 (WinBuild.160101.0800)","17/04/2026","Ninguna/No detectada","17/04/2026 02:40","1321:48:27","N/A"
"petersen.corp","BEROMNIFS01T","172.30.87.85","Microsoft Windows Server 2019 Standard","10.0.17763.7671 (WinBuild.160101.0800)","16/05/2026","Ninguna/No detectada","15/05/2026 23:56","628:33:20","N/A"
"petersen.corp","BEROMNIWS02T","172.30.87.81","Microsoft Windows Server 2019 Standard","10.0.17763.652 (WinBuild.160101.0800)","14/01/2026","Ninguna/No detectada","18/04/2026 02:50","1297:38:40","N/A"
"petersen.corp","BERPRICINGWEBT","172.30.211.28","Microsoft Windows Server 2019 Standard","10.0.17763.7671 (WinBuild.160101.0800)","14/01/2026","Ninguna/No detectada","19/04/2026 00:38","1275:50:52","N/A"
"petersen.corp","BERPWRCRVDAS01T","172.30.87.68","Microsoft Windows Server 2019 Standard","10.0.17763.7671 (WinBuild.160101.0800)","16/05/2026","Ninguna/No detectada","15/05/2026 23:52","628:37:16","N/A"
"N/A","BSCABSRUNUAT","N/A","N/A","N/A","N/A","Ninguna/No detectada","N/A","N/A","No hay conectividad WinRM ni acceso administrativo a \\BSCABSRUNUAT\C$"
"petersen.corp","BSCGCONTASQL01T","172.30.97.184","Microsoft Windows Server 2019 Standard","10.0.17763.7671 (WinBuild.160101.0800)","10/06/2026","Ninguna/No detectada","10/06/2026 02:00","25:29:02","N/A"
"petersen.corp","BSCINSTWEB02T","10.50.97.98","Microsoft Windows Server 2019 Standard","10.0.17763.7671 (WinBuild.160101.0800)","09/06/2026","Ninguna/No detectada","09/06/2026 18:01","33:28:15","N/A"
"petersen.corp","BSCMCISIS01T","172.30.211.173","Microsoft Windows Server 2022 Standard","10.0.20348.4050 (WinBuild.160101.0800)","16/05/2026","Ninguna/No detectada","09/05/2026 00:26","795:03:12","N/A"
"petersen.corp","BSCOCEIS01T","172.30.97.72","Microsoft Windows Server 2019 Standard","10.0.17763.7671 (WinBuild.160101.0800)","10/06/2026","Ninguna/No detectada","10/06/2026 14:31","13:58:21","N/A"
"petersen.corp","BSCONBOARDMS01T","10.50.97.140","Microsoft Windows Server 2019 Standard","10.0.17763.7671 (WinBuild.160101.0800)","19/04/2026","Ninguna/No detectada","19/04/2026 02:46","1273:44:09","N/A"
