"Dominio","Servidor","IP","Sistema_Operativo","Version_Sistema_Operativo","Fecha_Instalacion","KBs_Instaladas","Fecha_Reinicio","Running_Time","Descripcion_Error"
"petersen.corp","DCP100VRT","172.20.1.100","Microsoft Windows Server 2019 Standard","10.0.17763.652 (WinBuild.160101.0800)","17/05/2024","Ninguna/No detectada","17/01/2026 00:41","3507:46:19","N/A"
"N/A","PTCEDC02","N/A","N/A","N/A","N/A","Ninguna/No detectada","N/A","N/A","No hay conectividad WinRM ni acceso administrativo a \\PTCEDC02\C$"
"root.corp","ROOTDC1602","172.30.10.187","Microsoft Windows Server 2016 Standard","10.0.14393.8330 (rs1_release.250801-1749)","22/05/2026","Ninguna/No detectada","22/05/2026 02:27","505:00:10","N/A"
"petersen.corp","SRVDC01BSF","172.16.10.57","Microsoft Windows Server 2019 Standard","10.0.17763.7671 (WinBuild.160101.0800)","11/06/2026","Ninguna/No detectada","11/06/2026 04:24","23:03:40","N/A"
"N/A","BERABSRUNUAT","N/A","N/A","N/A","N/A","Ninguna/No detectada","N/A","N/A","No hay conectividad WinRM ni acceso administrativo a \\BERABSRUNUAT\C$"
"petersen.corp","BERFDSQL01T","172.30.87.122","Microsoft Windows Server 2022 Standard","10.0.20348.4050 (WinBuild.160101.0800)","15/05/2026","Ninguna/No detectada","19/05/2026 15:14","564:14:38","N/A"
"petersen.corp","BERGCONTASQL01T","172.30.87.184","Microsoft Windows Server 2019 Standard","10.0.17763.7671 (WinBuild.160101.0800)","09/05/2026","Ninguna/No detectada","11/05/2026 14:10","757:18:39","N/A"
"petersen.corp","BERJENKCON02T","172.30.87.192","Microsoft Windows Server 2019 Standard","10.0.17763.7671 (WinBuild.160101.0800)","17/04/2026","Ninguna/No detectada","17/04/2026 02:14","1345:14:58","N/A"
"petersen.corp","BERMCESIS01T","172.30.211.219","Microsoft Windows Server 2022 Standard","10.0.20348.4050 (WinBuild.160101.0800)","16/05/2026","Ninguna/No detectada","30/04/2026 00:06","1035:23:02","N/A"
"petersen.corp","BEROCEIS01T","172.30.87.72","Microsoft Windows Server 2019 Standard","10.0.17763.652 (WinBuild.160101.0800)","20/12/2022","Ninguna/No detectada","08/05/2026 14:12","829:16:28","N/A"
"petersen.corp","BERONBOARDDB01T","172.30.87.183","Microsoft Windows Server 2019 Standard","10.0.17763.652 (WinBuild.160101.0800)","30/11/2020","Ninguna/No detectada","19/04/2026 00:39","1299:50:18","N/A"
"petersen.corp","BERONBOARDMS02T","172.30.87.181","Microsoft Windows Server 2019 Standard","10.0.17763.7671 (WinBuild.160101.0800)","16/05/2026","Ninguna/No detectada","15/05/2026 23:58","652:30:55","N/A"
"petersen.corp","BERSBALSQL01T","172.30.87.74","Microsoft Windows Server 2019 Standard","10.0.17763.652 (WinBuild.160101.0800)","23/09/2024","Ninguna/No detectada","14/05/2026 15:31","684:58:12","N/A"
"petersen.corp","BERSONPRTG01T","172.30.87.73","Microsoft Windows Server 2019 Standard","10.0.17763.7671 (WinBuild.160101.0800)","16/05/2026","Ninguna/No detectada","15/05/2026 23:58","652:31:05","N/A"
"N/A","BSCDEBMEDIADB01T","N/A","N/A","N/A","N/A","Ninguna/No detectada","N/A","N/A","No hay conectividad WinRM ni acceso administrativo a \\BSCDEBMEDIADB01T\C$"
"petersen.corp","BSCGCONTAWEB01T","172.30.97.187","Microsoft Windows Server 2019 Standard","10.0.17763.652 (WinBuild.160101.0800)","17/10/2023","Ninguna/No detectada","17/10/2025 18:12","5697:17:41","N/A"
"petersen.corp","BSCOCEMS01T","172.30.97.71","Microsoft Windows Server 2019 Standard","10.0.17763.7671 (WinBuild.160101.0800)","16/04/2026","Ninguna/No detectada","16/04/2026 02:37","1369:52:31","N/A"
"petersen.corp","BSCOMNIFS01T","172.30.97.85","Microsoft Windows Server 2019 Standard","10.0.17763.7671 (WinBuild.160101.0800)","10/06/2026","Ninguna/No detectada","10/06/2026 17:29","34:00:50","N/A"
"petersen.corp","BSCONBOARDDB01T","172.30.97.183","Microsoft Windows Server 2019 Standard","10.0.17763.7671 (WinBuild.160101.0800)","17/04/2026","Ninguna/No detectada","17/04/2026 02:14","1345:15:56","N/A"
"petersen.corp","BSCONBOARDMS02T","172.30.97.181","Microsoft Windows Server 2019 Standard","10.0.17763.7671 (WinBuild.160101.0800)","18/04/2026","Ninguna/No detectada","19/04/2026 00:38","1299:51:25","N/A"
"petersen.corp","BSCPWRCRVDA01T","172.30.97.69","Microsoft Windows Server 2019 Standard","10.0.17763.7671 (WinBuild.160101.0800)","09/06/2026","Ninguna/No detectada","09/06/2026 17:18","58:11:29","N/A"
"petersen.corp","BSFENROLLBFF01T","172.30.82.97","Microsoft Windows Server 2019 Standard","10.0.17763.7671 (WinBuild.160101.0800)","10/06/2026","Ninguna/No detectada","09/06/2026 23:56","52:33:59","N/A"
"petersen.corp","BSFGCONTASQL01T","172.30.82.184","Microsoft Windows Server 2019 Standard","10.0.17763.7671 (WinBuild.160101.0800)","10/06/2026","Ninguna/No detectada","10/06/2026 02:57","49:32:39","N/A"
