"Dominio","Servidor","IP","Sistema_Operativo","Version_Sistema_Operativo","Fecha_Instalacion","KBs_Instaladas","Fecha_Reinicio","Running_Time","Descripcion_Error"
"N/A","ASJDC04","N/A","N/A","N/A","N/A","Ninguna/No detectada","N/A","N/A","No hay conectividad WinRM ni acceso administrativo a \\ASJDC04\C$"
"N/A","BSJDC01P","N/A","N/A","N/A","N/A","Ninguna/No detectada","N/A","N/A","No hay conectividad WinRM ni acceso administrativo a \\BSJDC01P\C$"
"N/A","PTCEDC01","N/A","N/A","N/A","N/A","Ninguna/No detectada","N/A","N/A","No hay conectividad WinRM ni acceso administrativo a \\PTCEDC01\C$"
"root.corp","ROOTDC1601","172.30.10.183","Microsoft Windows Server 2016 Standard","10.0.14393.8330 (rs1_release.250801-1749)","11/06/2026","Ninguna/No detectada","11/06/2026 04:43","32:17:29","N/A"
"petersen.corp","SRVDC01","172.30.10.184","Microsoft Windows Server 2016 Standard","10.0.14393.8330 (rs1_release.250801-1749)","11/06/2026","Ninguna/No detectada","19/02/2026 18:29","2707:31:16","N/A"
"petersen.corp","SRVDCOMNIPP02P","172.30.118.21","Microsoft Windows Server 2022 Standard","10.0.20348.4050 (WinBuild.160101.0800)","29/08/2025","Ninguna/No detectada","29/08/2025 04:35","6896:26:16","N/A"
